area_type,availability,location,size,society,total_sqft,bath,balcony,price
Plot  Area,Ready To Move,Hormavu,7 Bedroom,Hormavu,1200,7.0,0.0,150.0
Super built-up  Area,Ready To Move,Bannerghatta Road,3 BHK,Bannerghatta Road,1640,2.0,1.0,120.0
Plot  Area,Ready To Move,Byrathi Village,5 Bedroom,Byrathi Village,1200,5.0,0.0,100.0
Super built-up  Area,Ready To Move,Kodichikkanahalli,3 BHK,Kodichikkanahalli,1190,2.0,2.0,57.0
Plot  Area,Ready To Move,OMBR Layout,4 Bedroom,OMBR Layout,2400,4.0,2.0,375.0
Super built-up  Area,Ready To Move,Marathahalli,2 BHK,Marathahalli,1019,2.0,2.0,49.85
Super built-up  Area,Ready To Move,Ambedkar Colony,3 BHK,Ambedkar Colony,1875,3.0,2.0,165.0
Super built-up  Area,18-May,Akshaya Nagar,3 BHK,Akshaya Nagar,1250,3.0,2.0,40.0
Plot  Area,Ready To Move,Brookefield,3 Bedroom,Brookefield,1200,3.0,2.0,140.0
Super built-up  Area,Ready To Move,Whitefield,2 BHK,Whitefield,1140,2.0,1.0,56.0
Super built-up  Area,Ready To Move,Lingadheeranahalli,3 BHK,Lingadheeranahalli,1683,3.0,1.0,109.0
Super built-up  Area,Ready To Move,Kaggadasapura,3 BHK,Kaggadasapura,1515,3.0,0.0,83.3
Super built-up  Area,19-Dec,Hoodi,4 BHK,Hoodi,2118,4.0,2.0,111.0
Built-up  Area,Ready To Move,Bannerghatta Road,4 Bedroom,Bannerghatta Road,1380,3.0,0.0,58.0
Super built-up  Area,Ready To Move,Varthur Road,2 BHK,Varthur Road,1083,2.0,2.0,61.75
Plot  Area,Ready To Move,Anjappa Layout,2 Bedroom,Anjappa Layout,600,2.0,1.0,55.0
Built-up  Area,Ready To Move,Avalahalli,3 BHK,Avalahalli,2300,3.0,3.0,120.0
Super built-up  Area,Ready To Move,Prakruthi Nagar,2 BHK,Prakruthi Nagar,1240,2.0,2.0,60.0
Super built-up  Area,Ready To Move,Surabhi Layout,3 BHK,Surabhi Layout,1750,3.0,1.0,120.0
Super built-up  Area,18-Apr,Sadaramangala,2 BHK,Sadaramangala,1230,2.0,0.0,43.48
Plot  Area,17-Aug,Anjanapura,3 Bedroom,Anjanapura,1500,3.0,1.0,139.0
Super built-up  Area,Ready To Move,Abbigere,2 BHK,Abbigere,985,2.0,1.0,40.39
Plot  Area,Ready To Move,Tindlu,3 Bedroom,Tindlu,1500,2.0,1.0,87.0
Built-up  Area,18-Dec,Electronic City,2 BHK,Electronic City,1125,2.0,1.0,32.49
Built-up  Area,Ready To Move,Maruthi Sevanagar,2 BHK,Maruthi Sevanagar,950,2.0,1.0,44.0
Super built-up  Area,18-Dec,JP Nagar,5 BHK,JP Nagar,4400 - 6800,0.0,0.0,548.5
Super built-up  Area,Ready To Move,Kothanur,3 BHK,Kothanur,1580,3.0,3.0,76.0
Plot  Area,Ready To Move,B Narayanapura,3 Bedroom,B Narayanapura,1092,2.0,1.0,98.5
Built-up  Area,18-Jul,Electronic City Phase II,2 BHK,Electronic City Phase II,1090,2.0,1.0,28.34
Built-up  Area,19-Mar,Hennur Road,3 Bedroom,Hennur Road,2264,3.0,1.0,159.0
Super built-up  Area,19-Aug,Dommasandra,3 BHK,Dommasandra,1033,2.0,2.0,25.53
Super built-up  Area,18-Apr,Kammasandra,2 BHK,Kammasandra,810,2.0,2.0,24.5
Super built-up  Area,Ready To Move,Green Garden Layout,2 BHK,Green Garden Layout,1045,2.0,0.0,45.0
Super built-up  Area,18-Sep,Hebbal,2 BHK,Hebbal,1337,2.0,1.0,82.0
Super built-up  Area,Ready To Move,Chandapura,2 BHK,Chandapura,1200,2.0,2.0,32.0
Super built-up  Area,Ready To Move,Koramangala,3 BHK,Koramangala,1580,3.0,2.0,160.0
Super built-up  Area,Ready To Move,Begur Road,3 BHK,Begur Road,1500,2.0,3.0,54.0
Super built-up  Area,18-Sep,Whitefield,3 BHK,Whitefield,1640,4.0,2.0,91.0
Super built-up  Area,Ready To Move,Silver Springs Layout,3 BHK,Silver Springs Layout,1570,3.0,2.0,62.0
Super built-up  Area,Ready To Move,Gubbalala,3 BHK,Gubbalala,1470,2.0,2.0,82.0
Super built-up  Area,Ready To Move,Kengeri,2 BHK,Kengeri,1160,2.0,2.0,40.61
Built-up  Area,Ready To Move,7th Phase JP Nagar,2 BHK,7th Phase JP Nagar,1050,2.0,1.0,71.0
Super built-up  Area,20-Jun,Dairy Circle,3 BHK,Dairy Circle,1855,3.0,1.0,225.0
Super built-up  Area,Ready To Move,Bannerghatta Road,3 BHK,Bannerghatta Road,1460,2.0,1.0,90.0
Built-up  Area,Ready To Move,Hulimavu,3 BHK,Hulimavu,1823,3.0,2.0,100.0
Super built-up  Area,Ready To Move,Electronic City,2 BHK,Electronic City,1094,2.0,2.0,42.0
Super built-up  Area,Ready To Move,Budigere,2 BHK,Budigere,1153,2.0,2.0,57.0
Built-up  Area,Ready To Move,Hoysalanagar,3 BHK,Hoysalanagar,1325,3.0,1.0,57.0
Plot  Area,Ready To Move,Parappana Agrahara,4 Bedroom,Parappana Agrahara,1200,3.0,2.0,85.0
Built-up  Area,Ready To Move,Jakkur,3 BHK,Jakkur,1590,2.0,2.0,125.0
Plot  Area,Ready To Move,Jeevan bima nagar,5 Bedroom,Jeevan bima nagar,1210,4.0,2.0,160.0
Plot  Area,Ready To Move,Raja Rajeshwari Nagar,4 Bedroom,Raja Rajeshwari Nagar,1200,4.0,0.0,220.0
Super built-up  Area,Ready To Move,Narayana Nagar 1st Block,2 BHK,Narayana Nagar 1st Block,1202,2.0,1.0,48.0
Built-up  Area,Ready To Move,Haralur Road,2 BHK,Haralur Road,1202,2.0,1.0,53.0
Super built-up  Area,Ready To Move,KSRTC Layout,2 BHK,KSRTC Layout,1200,2.0,3.0,62.5
Super built-up  Area,18-Feb,Panathur,3 BHK,Panathur,1688,3.0,1.0,118.0
Built-up  Area,Ready To Move,Kaval Byrasandra,2 BHK,Kaval Byrasandra,1020,2.0,1.0,52.0
Super built-up  Area,Ready To Move,Sarjapur,2 BHK,Sarjapur,1185,2.0,2.0,47.0
Super built-up  Area,17-Oct,Ramagondanahalli,2 BHK,Ramagondanahalli,1235,2.0,1.0,52.04
Super built-up  Area,Ready To Move,Hosakerehalli,4 BHK,Hosakerehalli,3205,5.0,1.0,500.0
Super built-up  Area,Ready To Move,Banashankari,2 BHK,Banashankari,1077,2.0,2.0,37.64
Super built-up  Area,Ready To Move,Kengeri Satellite Town,3 BHK,Kengeri Satellite Town,1415,2.0,3.0,66.0
Super built-up  Area,18-Apr,EPIP Zone,3 BHK,EPIP Zone,2330,3.0,2.0,162.0
Super built-up  Area,Ready To Move,Whitefield,2 BHK,Whitefield,805,2.0,2.0,35.0
Built-up  Area,Ready To Move,P&T Colony,1 BHK,P&T Colony,425,1.0,0.0,20.03
Super built-up  Area,Ready To Move,Whitefield,2 BHK,Whitefield,1155,2.0,3.0,59.95
Super built-up  Area,Ready To Move,Cunningham Road,4 BHK,Cunningham Road,5270,4.0,3.0,1250.0
Super built-up  Area,Ready To Move,Anekal,2 BHK,Anekal,656,2.0,1.0,22.0
Built-up  Area,Ready To Move,New Gurappana Palya,2 BHK,New Gurappana Palya,1100,2.0,0.0,48.0
Super built-up  Area,Ready To Move,Mahadevpura,2 BHK,Mahadevpura,1150,2.0,3.0,52.0
Plot  Area,Ready To Move,Chelekare,1 Bedroom,Chelekare,600,1.0,1.0,60.0
Super built-up  Area,Ready To Move,Ambedkar Colony,2 BHK,Ambedkar Colony,1468,2.0,1.0,140.0
Plot  Area,Ready To Move,Palanahalli,4 Bedroom,Palanahalli,4300,5.0,2.0,550.0
Super built-up  Area,18-Dec,Whitefield,3 BHK,Whitefield,2280,4.0,2.0,126.0
Super built-up  Area,Ready To Move,Hegde Nagar,2 BHK,Hegde Nagar,1341,2.0,1.0,97.0
Super built-up  Area,Ready To Move,Jakkur,2 BHK,Jakkur,1279,2.0,1.0,77.0
Super built-up  Area,18-Dec,Electronic City Phase II,4 BHK,Electronic City Phase II,2225,4.0,0.0,98.88
Super built-up  Area,Ready To Move,Thanisandra,2 BHK,Thanisandra,1185,2.0,2.0,43.51
Super built-up  Area,Ready To Move,Vadarpalya,3 BHK,Vadarpalya,1750,3.0,2.0,85.0
Super built-up  Area,Ready To Move,Kudlu,2 BHK,Kudlu,1152,2.0,1.0,53.5
Plot  Area,Ready To Move,Shivanagar,5 Bedroom,Shivanagar,1000,4.0,1.0,160.0
Super built-up  Area,Ready To Move,Hulimavu,2 BHK,Hulimavu,1300,2.0,3.0,36.0
Plot  Area,18-Nov,Varthur Road,4 Bedroom,Varthur Road,2760,4.0,2.0,155.0
Super built-up  Area,18-Aug,5th Phase JP Nagar,2 BHK,5th Phase JP Nagar,1070,2.0,2.0,39.0
Super built-up  Area,Ready To Move,Uttarahalli,2 BHK,Uttarahalli,1101,2.0,0.0,45.0
Super built-up  Area,Ready To Move,V.V Puram,2 BHK,V.V Puram,775,2.0,1.0,55.0
Super built-up  Area,Ready To Move,Yeshwanthpur,1 BHK,Yeshwanthpur,667,1.0,1.0,36.85
Super built-up  Area,Ready To Move,Electronic City,2 BHK,Electronic City,1070,2.0,1.0,55.0
Built-up  Area,Ready To Move,Old Airport Road,3 BHK,Old Airport Road,1875,2.0,2.0,110.0
Super built-up  Area,Ready To Move,Kundalahalli,2 BHK,Kundalahalli,735,2.0,1.0,57.99
Plot  Area,Ready To Move,Sarjapur,5 Bedroom,Sarjapur,4360,4.0,1.0,90.0
Super built-up  Area,Ready To Move,Koramangala,3 BHK,Koramangala,1750,3.0,2.0,130.0
Super built-up  Area,Ready To Move,Marathahalli,2 BHK,Marathahalli,1215,2.0,1.0,67.0
Plot  Area,Ready To Move,Sector 3 HSR Layout,9 Bedroom,Sector 3 HSR Layout,600,9.0,3.0,190.0
Super built-up  Area,Ready To Move,Vishwapriya Layout,2 BHK,Vishwapriya Layout,820,2.0,1.0,30.0
Super built-up  Area,20-Dec,Banashankari Stage VI,2 BHK,Banashankari Stage VI,1160 - 1195,2.0,0.0,59.935
Super built-up  Area,Ready To Move,Battarahalli,3 BHK,Battarahalli,1779,3.0,2.0,89.61
Built-up  Area,Ready To Move,HMT Layout,2 BHK,HMT Layout,1105,2.0,2.0,58.0
Built-up  Area,Ready To Move,Basavanagara,1 BHK,Basavanagara,1000Sq. Meter,2.0,1.0,93.0
Super built-up  Area,Ready To Move,Whitefield,3 BHK,Whitefield,1650,3.0,2.0,60.0
Super built-up  Area,Ready To Move,Jalahalli,2 BHK,Jalahalli,1694,2.0,2.0,150.0
Super built-up  Area,Ready To Move,Hosakerehalli,3 BHK,Hosakerehalli,2376,3.0,1.0,203.0
Super built-up  Area,Ready To Move,Cox Town,3 BHK,Cox Town,1975,3.0,3.0,150.0
Super built-up  Area,Ready To Move,Kammasandra,2 BHK,Kammasandra,674,2.0,1.0,33.0
Super built-up  Area,Ready To Move,Kaggadasapura,2 BHK,Kaggadasapura,1185,2.0,1.0,41.0
Super built-up  Area,Ready To Move, Thanisandra,1 RK, Thanisandra,445,1.0,0.0,28.0
Built-up  Area,Ready To Move,Mylasandra,6 Bedroom,Mylasandra,900,7.0,0.0,76.0
Super built-up  Area,Ready To Move,HSR Layout,3 BHK,HSR Layout,1475,3.0,2.0,75.0
Super built-up  Area,Ready To Move,Gottigere,3 BHK,Gottigere,1618,3.0,3.0,82.5
Super built-up  Area,Ready To Move,Koramangala,2 BHK,Koramangala,1120,2.0,0.0,65.0
Super built-up  Area,Ready To Move,Marathahalli,4 BHK,Marathahalli,2181,3.0,2.0,152.0
Plot  Area,Ready To Move,Vidyaranyapura,4 Bedroom,Vidyaranyapura,1200,4.0,0.0,90.0
Plot  Area,Ready To Move,Nagondanahalli,6 Bedroom,Nagondanahalli,600,4.0,3.0,65.0
Super built-up  Area,18-Oct,Bannerghatta Road,3 BHK,Bannerghatta Road,1556,2.0,1.0,59.13
Super built-up  Area,19-Feb,Bannerghatta Road,2 BHK,Bannerghatta Road,1179,2.0,1.0,66.02
Super built-up  Area,Ready To Move,Thanisandra,2 BHK,Thanisandra,1296,2.0,2.0,83.0
Built-up  Area,Ready To Move,Kaggadasapura,2 BHK,Kaggadasapura,1275,2.0,2.0,52.0
Built-up  Area,Ready To Move,Kalasipalya,7 Bedroom,Kalasipalya,1875,2.0,2.0,300.0
Super built-up  Area,Ready To Move,Kathriguppe,3 BHK,Kathriguppe,1400,2.0,2.0,77.0
Super built-up  Area,Ready To Move,Gottigere,2 BHK,Gottigere,1222,2.0,1.0,63.0
Super built-up  Area,Ready To Move,Electronic City,2 BHK,Electronic City,940,2.0,1.0,41.0
Super built-up  Area,Ready To Move,Thanisandra,2 BHK,Thanisandra,1185,2.0,2.0,42.6
Super built-up  Area,Ready To Move,Tumkur Road,3 BHK,Tumkur Road,1779,3.0,2.0,112.0
Super built-up  Area,Ready To Move,Begur Road,3 BHK,Begur Road,1615,3.0,2.0,59.76
Super built-up  Area,18-Dec,JP Nagar,4 BHK,JP Nagar,4000 - 5249,0.0,0.0,453.0
Super built-up  Area,Ready To Move,Haralur Road,2 BHK,Haralur Road,1056,2.0,1.0,61.0
Super built-up  Area,Ready To Move,7th Phase JP Nagar,2 BHK,7th Phase JP Nagar,1100,2.0,0.0,46.0
Built-up  Area,Ready To Move,Arekere,2 BHK,Arekere,920,2.0,1.0,40.0
Super built-up  Area,Ready To Move,ITI Layout,3 BHK,ITI Layout,1602,2.0,0.0,75.0
Built-up  Area,Ready To Move,Padmanabhanagar,2 BHK,Padmanabhanagar,1176,2.0,0.0,62.0
Plot  Area,Ready To Move,HBR Layout,4 Bedroom,HBR Layout,675,3.0,1.0,59.0
Super built-up  Area,Ready To Move,Richmond Town,3 BHK,Richmond Town,1352,3.0,0.0,135.0
Built-up  Area,Ready To Move,Kasavanhalli,3 BHK,Kasavanhalli,1717,3.0,3.0,99.0
Plot  Area,18-Apr,4 Bedroom Farm House in Bagalur,4 Bedroom,4 Bedroom Farm House in Bagalur,10961,4.0,1.0,80.0
Super built-up  Area,18-Jul,Bhoganhalli,4 BHK,Bhoganhalli,2119,4.0,3.0,111.0
Super built-up  Area,Ready To Move,Vittasandra,2 BHK,Vittasandra,1246,2.0,1.0,67.3
Super built-up  Area,17-Jul,Anandapura,2 BHK,Anandapura,1141,2.0,1.0,42.79
Built-up  Area,Ready To Move,Hennur Road,2 BHK,Hennur Road,1157,2.0,1.0,84.0
Super built-up  Area,18-Aug,Chandapura,2 BHK,Chandapura,1025,2.0,2.0,27.68
Built-up  Area,Ready To Move,Yelahanka New Town,1 BHK,Yelahanka New Town,650,1.0,2.0,33.0
Super built-up  Area,Ready To Move,Hebbal,2 BHK,Hebbal,1349,2.0,1.0,98.0
Super built-up  Area,Ready To Move,Narayanapura,3 BHK,Narayanapura,1566,3.0,1.0,83.3
Super built-up  Area,Ready To Move,Sahakara Nagar,4 BHK,Sahakara Nagar,2830,3.0,3.0,195.0
Built-up  Area,18-Dec,Electronic City,3 BHK,Electronic City,1320,2.0,1.0,38.13
Super built-up  Area,18-Nov,manyata park,3 BHK,manyata park,1780,3.0,1.0,84.83
Super built-up  Area,Ready To Move,Varthur,2 BHK,Varthur,1091,2.0,1.0,34.9
Super built-up  Area,Ready To Move,Rachenahalli,4 BHK,Rachenahalli,3670,4.0,3.0,300.0
Built-up  Area,Ready To Move,7th Phase JP Nagar,2 BHK,7th Phase JP Nagar,918,2.0,1.0,50.49
Super built-up  Area,20-Dec,Yeshwanthpur,4 BHK,Yeshwanthpur,1950,4.0,0.0,130.0
Super built-up  Area,Ready To Move,Panathur,3 BHK,Panathur,1695,3.0,1.0,90.0
Super built-up  Area,Ready To Move,Yelahanka,3 BHK,Yelahanka,1705,3.0,2.0,95.0
Built-up  Area,Ready To Move,Kalyan nagar,3 BHK,Kalyan nagar,1375,3.0,2.0,75.0
Super built-up  Area,21-Oct,Kanakpura Road,1 BHK,Kanakpura Road,525,1.0,1.0,30.0
Built-up  Area,20-Dec,Whitefield,2 BHK,Whitefield,1447,2.0,1.0,83.0
Super built-up  Area,Ready To Move,Thanisandra,2 BHK,Thanisandra,1114,2.0,1.0,39.0
Super built-up  Area,Ready To Move,7th Phase JP Nagar,3 BHK,7th Phase JP Nagar,1450,2.0,1.0,100.0
Super built-up  Area,Ready To Move,Belathur,2 BHK,Belathur,460,1.0,0.0,15.0
Built-up  Area,Ready To Move,Vasanthapura,2 BHK,Vasanthapura,1022,2.0,2.0,40.0
Built-up  Area,Ready To Move,Hebbal,2 BHK,Hebbal,1000,2.0,2.0,45.0
Super built-up  Area,18-Apr,Electronic City,2 BHK,Electronic City,1128,2.0,1.0,68.75
Super built-up  Area,18-May,Kanakpura Road,2 BHK,Kanakpura Road,1180,2.0,2.0,57.0
Built-up  Area,Ready To Move,TC Palaya,6 Bedroom,TC Palaya,1000,6.0,1.0,69.0
Plot  Area,Ready To Move,Nagarbhavi,2 Bedroom,Nagarbhavi,1200,2.0,1.0,150.0
Super built-up  Area,Ready To Move,Sadashiva Nagar,3 BHK,Sadashiva Nagar,3761,3.0,2.0,660.0
Super built-up  Area,Ready To Move,Kanakpura Road,2 BHK,Kanakpura Road,1339,2.0,3.0,75.0
Super built-up  Area,Ready To Move,Yelachenahalli,3 BHK,Yelachenahalli,1400,2.0,3.0,55.0
Super built-up  Area,Ready To Move,7th Phase JP Nagar,2 BHK,7th Phase JP Nagar,1040,2.0,1.0,39.52
Super built-up  Area,Ready To Move,Kadugodi,2 BHK,Kadugodi,1198,2.0,2.0,58.0
Plot  Area,Ready To Move,Shirdi Sai Layout,4 Bedroom,Shirdi Sai Layout,1200,3.0,0.0,95.0
Super built-up  Area,Ready To Move,Sarjapur  Road,3 BHK,Sarjapur  Road,1691,3.0,2.0,113.0
Super built-up  Area,Ready To Move,Bisuvanahalli,3 BHK,Bisuvanahalli,1075,3.0,2.0,36.0
Super built-up  Area,18-Jun,1st Block Jayanagar,3 BHK,1st Block Jayanagar,1630,3.0,2.0,194.0
Super built-up  Area,18-Jun,8th Phase JP Nagar,3 BHK,8th Phase JP Nagar,1240,3.0,2.0,43.5
Super built-up  Area,22-Dec,Bannerghatta Road,2 BHK,Bannerghatta Road,1115 - 1130,2.0,0.0,58.935
Super built-up  Area,Ready To Move,Mallasandra,3 BHK,Mallasandra,1665,3.0,2.0,86.58
Built-up  Area,Ready To Move,Marathahalli,3 BHK,Marathahalli,2489,3.0,0.0,94.0
Built-up  Area,Ready To Move,Brookefield,2 BHK,Brookefield,1142,2.0,2.0,70.0
Super built-up  Area,Ready To Move,Kodbisanhalli,3 BHK,Kodbisanhalli,1976,3.0,1.0,184.0
Plot  Area,Ready To Move,Sathya Sai Layout,4 Bedroom,Sathya Sai Layout,5500,4.0,0.0,600.0
Super built-up  Area,Ready To Move,Kothannur,3 BHK,Kothannur,1853,3.0,2.0,82.0
Plot  Area,Ready To Move,Vijayanagar,8 Bedroom,Vijayanagar,600,4.0,1.0,72.0
Super built-up  Area,Ready To Move,Kasturi Nagar,2 BHK,Kasturi Nagar,1567,2.0,2.0,92.0
Super built-up  Area,Ready To Move,Talaghattapura,2 BHK,Talaghattapura,1090,2.0,1.0,27.24
Plot  Area,Ready To Move,Raja Rajeshwari Nagar,6 Bedroom,Raja Rajeshwari Nagar,1200,4.0,2.0,125.0
Plot  Area,Ready To Move,Indiranagar HAL 2nd Stage,4 Bedroom,Indiranagar HAL 2nd Stage,2400,4.0,1.0,640.0
Super built-up  Area,Ready To Move,Electronics City Phase 1,2 BHK,Electronics City Phase 1,1175,2.0,2.0,51.47
Built-up  Area,Ready To Move,Subramanyapura,2 BHK,Subramanyapura,1200,2.0,2.0,52.0
Built-up  Area,Ready To Move,Kodichikkanahalli,2 BHK,Kodichikkanahalli,995,2.0,1.0,41.0
Super built-up  Area,Ready To Move,Magadi Road,2 BHK,Magadi Road,884,2.0,1.0,41.1
Plot  Area,Ready To Move,Vishwanatha Nagenahalli,5 Bedroom,Vishwanatha Nagenahalli,900,3.0,2.0,80.0
Built-up  Area,Ready To Move,Yeshwanthpur,2 BHK,Yeshwanthpur,1170,2.0,2.0,57.0
Super built-up  Area,Ready To Move,KR Puram,2 BHK,KR Puram,1225,2.0,1.0,46.55
Super built-up  Area,18-Apr,Electronic City,2 BHK,Electronic City,1342,2.0,1.0,73.3
Built-up  Area,19-Dec,Uttarahalli,2 BHK,Uttarahalli,1345,2.0,1.0,67.0
Built-up  Area,Ready To Move,Kodigehaali,3 BHK,Kodigehaali,1320,3.0,0.0,65.0
Super built-up  Area,Ready To Move,Singapura Village,2 BHK,Singapura Village,1100Sq. Yards,2.0,0.0,45.0
Super built-up  Area,Ready To Move,Raja Rajeshwari Nagar,2 BHK,Raja Rajeshwari Nagar,1140,2.0,1.0,49.39
Super built-up  Area,Ready To Move,Battarahalli,2 BHK,Battarahalli,1300,2.0,1.0,50.0
Super built-up  Area,Ready To Move,Hosa Road,3 BHK,Hosa Road,1652,3.0,2.0,85.0
Super built-up  Area,Ready To Move,Thigalarapalya,3 BHK,Thigalarapalya,2072,4.0,2.0,142.0
Built-up  Area,Ready To Move,Arekere,3 BHK,Arekere,1740,2.0,0.0,95.0
Super built-up  Area,Ready To Move,Electronic City,3 BHK,Electronic City,1360,2.0,1.0,71.0
Super built-up  Area,Ready To Move,Hosur Road,3 BHK,Hosur Road,1145,2.0,2.0,60.0
Built-up  Area,Ready To Move,Uttarahalli,3 BHK,Uttarahalli,1540,2.0,0.0,40.0
Super built-up  Area,Ready To Move,Sarjapur  Road,2 BHK,Sarjapur  Road,1278,2.0,2.0,95.0
Super built-up  Area,18-May,Electronic City Phase II,1 BHK,Electronic City Phase II,630,1.0,1.0,40.0
Super built-up  Area,21-Jan,Kanakpura Road,3 BHK,Kanakpura Road,1100,3.0,2.0,58.0
Plot  Area,Ready To Move,Bendiganahalli,3 Bedroom,Bendiganahalli,1200,3.0,0.0,95.0
Built-up  Area,Ready To Move,Hosakerehalli Layout,7 Bedroom,Hosakerehalli Layout,2500,6.0,2.0,115.0
Super built-up  Area,18-Jun,Chandapura,1 BHK,Chandapura,520 - 645,1.0,0.0,15.135
Super built-up  Area,18-Sep,Chandapura,2 BHK,Chandapura,1015,2.0,2.0,25.88
Built-up  Area,Ready To Move,Hosur Road,5 Bedroom,Hosur Road,3300,5.0,2.0,240.0
Plot  Area,Ready To Move,Basaveshwara Nagar,5 Bedroom,Basaveshwara Nagar,4500,5.0,1.0,415.0
Super built-up  Area,Ready To Move,Gunjur,3 BHK,Gunjur,1356,2.0,3.0,66.0
Super built-up  Area,Ready To Move,Hennagara,2 BHK,Hennagara,823,2.0,1.0,28.0
Plot  Area,Ready To Move,TC Palaya,3 Bedroom,TC Palaya,1200,2.0,0.0,66.0
Built-up  Area,Ready To Move,Ramamurthy Nagar,2 BHK,Ramamurthy Nagar,1050,2.0,0.0,37.0
Super built-up  Area,Ready To Move,Ferrar Nagar,2 BHK,Ferrar Nagar,1180,2.0,1.0,69.0
Super built-up  Area,Ready To Move,Whitefield,2 BHK,Whitefield,1116,2.0,3.0,51.91
Super built-up  Area,Ready To Move,7th Phase JP Nagar,2 BHK,7th Phase JP Nagar,1070,2.0,1.0,42.79
Super built-up  Area,17-Mar,Varthur,2 BHK,Varthur,1385,2.0,3.0,80.0
Plot  Area,Ready To Move,Varthur,1 Bedroom,Varthur,1000,1.0,1.0,70.0
Built-up  Area,18-Feb,Whitefield,3 BHK,Whitefield,1897,3.0,2.0,130.0
Super built-up  Area,18-Aug,Magadi Road,2 BHK,Magadi Road,1005,2.0,1.0,55.78
Super built-up  Area,Ready To Move,Green Glen Layout,3 BHK,Green Glen Layout,1575,3.0,2.0,125.0
Super built-up  Area,Ready To Move,Subramanyapura,2 BHK,Subramanyapura,975,2.0,1.0,65.0
Super built-up  Area,Ready To Move,Hennur Road,3 BHK,Hennur Road,1904,3.0,2.0,120.0
Super built-up  Area,Ready To Move,Kengeri Satellite Town,1 BHK,Kengeri Satellite Town,930,1.0,1.0,30.0
Super built-up  Area,21-Dec,Kanakpura Road,1 BHK,Kanakpura Road,525,1.0,1.0,26.0
Super built-up  Area,Ready To Move,BAGUR,1 BHK,BAGUR,686,1.0,1.0,17.0
Plot  Area,Ready To Move,Electronic City Phase II,2 Bedroom,Electronic City Phase II,2400,3.0,1.0,150.0
Plot  Area,Ready To Move,8th block Koramangala,2 Bedroom,8th block Koramangala,1410,1.0,0.0,233.0
Built-up  Area,18-Apr,Sarjapur  Road,3 Bedroom,Sarjapur  Road,2238,3.0,1.0,140.0
Super built-up  Area,Ready To Move,Harlur,2 BHK,Harlur,1174,2.0,1.0,69.0
Built-up  Area,Ready To Move,Thubarahalli,4 Bedroom,Thubarahalli,3800,4.0,3.0,239.0
Super built-up  Area,Ready To Move,Whitefield,3 BHK,Whitefield,2225,2.0,1.0,125.0
Super built-up  Area,Ready To Move,M.G Road,2 BHK,M.G Road,1250,2.0,0.0,200.0
Super built-up  Area,Ready To Move,Jigani,2 BHK,Jigani,918,2.0,2.0,52.0
Super built-up  Area,Ready To Move,Mahadevpura,2 BHK,Mahadevpura,1250,2.0,3.0,52.0
Super built-up  Area,Ready To Move,Sarjapur  Road,3 BHK,Sarjapur  Road,1800,3.0,0.0,110.0
Built-up  Area,Ready To Move,Marathahalli,2 BHK,Marathahalli,1170,2.0,3.0,53.0
Super built-up  Area,Ready To Move,Byatarayanapura,1 BHK,Byatarayanapura,1300,1.0,0.0,200.0
Built-up  Area,Ready To Move,Bannerghatta Road,2 BHK,Bannerghatta Road,793,2.0,1.0,45.0
Super built-up  Area,Ready To Move,Jakkur,3 BHK,Jakkur,1710,3.0,2.0,107.0
Super built-up  Area,Ready To Move,Kambipura,3 BHK,Kambipura,1082,2.0,1.0,57.5
Super built-up  Area,18-Mar,Naganathapura,2 BHK,Naganathapura,1001,2.0,2.0,33.03
Built-up  Area,Ready To Move,Srinivasa Nagar,4 Bedroom,Srinivasa Nagar,1500,4.0,0.0,180.0
Super built-up  Area,Ready To Move,Yelahanka,3 BHK,Yelahanka,1590,2.0,1.0,54.0
Super built-up  Area,Ready To Move,Basavanagara,3 BHK,Basavanagara,2400,2.0,0.0,80.0
Super built-up  Area,Ready To Move,Horamavu Banaswadi,3 BHK,Horamavu Banaswadi,1554,3.0,2.0,55.0
Super built-up  Area,18-Dec,Thanisandra,2 BHK,Thanisandra,1000 - 1285,2.0,0.0,43.415
Super built-up  Area,Ready To Move,Bellandur,5 BHK,Bellandur,4239,5.0,2.0,423.0
Built-up  Area,Ready To Move,Konanakunte,2 Bedroom,Konanakunte,884,1.0,0.0,58.0
Super built-up  Area,19-Mar,Hosa Road,2 BHK,Hosa Road,1045,2.0,1.0,98.89
Super built-up  Area,Ready To Move,Marathahalli,2 BHK,Marathahalli,1019,2.0,2.0,49.86
Super built-up  Area,Ready To Move,Ambedkar Nagar,3 BHK,Ambedkar Nagar,1935,4.0,2.0,130.0
Super built-up  Area,Ready To Move,Uttarahalli,3 BHK,Uttarahalli,1135,2.0,2.0,39.73
Super built-up  Area,Ready To Move,Lakshminarayana Pura,3 BHK,Lakshminarayana Pura,1680,3.0,2.0,150.0
Super built-up  Area,19-Jun,Hebbal,4 BHK,Hebbal,2470,5.0,2.0,247.0
Super built-up  Area,Ready To Move,1st Phase JP Nagar,4 BHK,1st Phase JP Nagar,2825,4.0,3.0,250.0
Super built-up  Area,Ready To Move,Hosakerehalli,3 BHK,Hosakerehalli,2480,3.0,1.0,330.0
Plot  Area,Ready To Move,5th Phase JP Nagar,9 Bedroom,5th Phase JP Nagar,1260,11.0,0.0,290.0
Plot  Area,Ready To Move,Ramamurthy Nagar,5 Bedroom,Ramamurthy Nagar,1800,4.0,3.0,187.0
